"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8","eeg",
2.8206,-14.1028,43.8459,37.1794,-15.1282,16.1536,-4.8718,1.7947,-2.8206,-0.76929,0.76929,-0.76929,-1.7952,2.3079,,
-0.5127,-16.9229,47.1797,39.4873,-15.8975,12.8203,-10.2563,6.6665,-6.1538,0.5127,1.0259,1.0259,-6.1538,-2.564,,
-5.1279,-6.1538,55.8975,37.9487,-9.2305,11.2822,-6.6665,6.1538,0,0,6.667,-2.564,4.6157,-14.8716,,
-8.4614,-5.8975,65.3848,32.0513,-2.3076,15.1284,-0.25635,-0.25635,5.8975,0.25635,7.9487,-0.76904,11.0259,-1.2817,,
-16.4104,-14.3591,71.7947,21.0256,-5.6409,6.1536,-2.5642,-10.2566,-0.51294,1.5383,-2.0515,0.51294,6.6667,2.051,,
-15.3845,-12.3079,85.1282,22.0515,-8.718,2.0515,-2.051,-8.2053,1.0256,6.6667,-1.0256,3.0769,5.6409,-11.282,,
-9.4871,-13.0769,93.0769,26.9231,-6.4104,12.051,-3.3333,-1.7947,3.3333,3.3333,4.8718,0.76929,-0.76929,-10.5129,,
-10.7693,-12.3079,95.3845,28.2053,-2.5642,18.9744,-5.1282,6.6667,-2.051,-0.51294,5.1282,0.51294,5.6409,-2.5642,,
-16.9231,-10.2566,99.4871,25.6409,-9.7434,12.3079,-3.5896,13.3333,-4.1023,0.51294,-0.51294,1.0256,14.3591,-2.051,,
-13.8462,-9.7437,102.564,24.6152,-12.8208,13.8462,-3.5898,15.3848,0.5127,-0.5127,-0.5127,-2.0513,15.3848,9.2305,,
-6.4102,-8.9741,103.8462,25.8975,-10.5127,16.1538,-7.9487,12.0513,-0.76904,-3.3335,0.76904,-1.7949,13.5898,12.564,,
-1.0259,-5.1284,109.231,28.7178,-11.7949,11.7949,-4.1025,11.2822,-1.5386,-0.5127,1.5386,6.1538,0.5127,-2.436,,
-2.564,-5.6411,102.564,29.7437,-14.8716,11.7949,-0.5127,11.7949,0,0,4.6152,6.667,-7.1792,-7.6924,,
-11.5381,-13.5894,87.564,25.8975,-16.6665,12.0513,-7.4355,10.5132,-1.7949,-5.3843,8.4619,-3.333,3.3335,1.7949,,
-18.2051,-13.5898,76.1538,27.436,-11.5386,13.5898,-7.4355,19.7437,-4.3589,-4.8716,8.9746,-6.4102,15.1284,4.3589,,
-22.3076,-10,69.4873,26.4102,-14.6157,14.1025,-8.4614,25.8975,-6.9233,-1.7949,6.4102,-2.8208,12.564,1.7949,,
-19.7437,-11.0254,65.8975,23.3335,-13.5898,14.6157,-9.4868,27.436,-0.25635,-0.25635,11.5386,0.25635,7.9487,-1.7949,,
-18.9744,-13.8459,62.5642,24.1028,-8.2048,13.8464,-7.6921,25.1282,1.0256,-1.0256,12.8206,-2.051,6.6667,-8.2048,,
-14.8716,-9.231,66.1538,27.1797,-6.6665,14.3589,-5.1279,20.5127,0,0,12.8203,-1.0254,18.9746,-1.5386,,
-17.949,-12.8206,61.5383,15.8972,-14.3591,7.1794,-10.2566,10.2561,3.0769,-5.1282,9.2307,-3.0769,18.4612,-6.1541,,
-18.2051,-17.1792,53.0771,15.1284,-17.1792,6.9233,-8.9741,12.5645,11.0259,-0.76904,11.0259,0.25635,3.4612,-4.8716,,
-20.5127,-18.4614,45.6411,23.0767,-21.5386,7.1792,-15.8975,20,2.564,-2.0513,2.0513,-3.0771,-11.5388,6.1538,,
-16.6667,-15.1282,48.4617,32.5642,-22.3074,9.4871,-21.282,32.5642,-0.76929,2.3079,-1.282,0.76929,-1.282,8.9744,,
-18.2053,-19.7434,41.7947,29.4871,-25.8977,3.8459,-18.718,31.0256,-0.25659,6.4104,-0.76929,1.282,0.25659,-5.8977,,
-18.4614,-19.4873,37.436,23.0771,-27.6924,0,-15.3848,18.9746,0,4.6152,0.51269,1.5386,-8.7178,-6.1538,,
-14.6152,-17.1797,39.231,17.6924,-25.3848,-0.76904,-16.1538,11.5386,0.25635,-0.25635,3.3335,0.76904,-3.3335,2.8203,,
-10.5127,-15.1279,39.7437,19.7437,-18.2051,2.8208,-10,13.5898,0.25635,-0.25635,6.9233,-2.3076,11.0259,-8.4614,,
-8.7178,-11.2817,37.9487,23.0771,-13.8462,7.6924,-5.1279,18.4614,1.5386,-1.5386,9.231,-5.1279,12.3076,-22.564,,
-6.9231,-8.9744,35.6409,22.3074,-13.0769,11.0256,-4.8718,29.4871,5.3845,-5.8977,13.5896,-6.9231,4.8718,-16.1541,,
-7.436,-8.4614,33.0771,21.7949,-13.0767,13.0771,-5.8975,39.231,4.3589,-4.3589,13.0771,-4.8716,4.8716,-4.3589,,
-17.1792,-10,30.5132,22.8208,-15.1279,12.0513,-9.4868,33.5898,2.3076,-2.8203,8.9746,-2.8203,13.5898,-2.3076,,
-28.718,-15.8972,25.1282,18.4617,-22.5642,4.1028,-13.8459,21.5383,-0.51294,-5.6409,5.1282,-7.6921,12.3079,0.51294,,
-20.5129,-18.9744,21.5383,20.5129,-25.1282,2.0515,-9.2307,24.1028,-1.5383,-2.5642,5.1282,-7.1794,1.5383,6.1541,,
-5.5129,-12.8208,26.1538,28.7178,-20.5127,9.7437,-7.1797,36.9229,0.5127,0.5127,5.1279,-0.5127,-3.5898,-4.1025,,
8.7178,-5.1284,32.8203,35.3848,-18.4614,14.8716,-10.7695,46.6665,-0.5127,-0.5127,0.5127,2.564,-0.5127,-3.0771,,
4.3586,-2.3079,25.8972,35.1282,-25.3845,14.1023,-12.0515,47.4358,-5.3845,-2.3079,-4.8718,-0.76929,0.76929,11.9229,,
0.51294,-4.6155,22.051,30.2561,-26.6667,13.3333,-10.2566,44.1023,-1.0256,0.51294,-2.0515,-0.51294,-1.5383,13.8459,,
-1.0259,-9.7437,22.0513,28.2051,-23.5898,13.333,-14.8721,44.6152,0.5127,-0.5127,1.0254,-0.5127,-3.0771,8.7178,,
-6.1538,-12.8203,16.4102,26.1538,-27.1797,13.8462,-20,45.1284,-2.0513,-4.1025,2.564,-1.5386,1.5386,9.7437,,
-13.5896,-13.5896,13.5896,20.7693,-26.4104,11.0256,-14.6155,37.1794,0.25659,-2.8206,7.4358,-0.25659,7.9485,-3.3333,,
-16.6667,-14.6155,15.6409,14.615,-21.7952,4.3586,-12.0515,31.0256,-0.76929,0.76929,6.4099,-2.3079,8.9744,-17.1794,,
-14.6152,-14.6152,14.6152,17.1797,-21.7949,2.8208,-13.0767,34.6152,0.76904,-0.76904,4.3589,-7.9487,8.4614,-6.9229,,
-14.615,-12.5637,12.5642,20.2566,-23.3333,6.4104,-12.051,37.1794,5.385,-4.8718,4.8718,-9.4871,8.9744,-7.4358,,
-12.051,-12.5637,12.0515,19.7439,-23.3333,0.76929,-12.5637,36.6667,3.8464,-0.76929,6.4104,-3.3333,2.8206,-17.1794,,
-10.5129,-11.5383,14.1023,22.3074,-21.7952,-8.4617,-11.0256,38.2048,7.4358,7.9485,9.4871,0.76929,-0.76929,-6.4104,,
-8.4617,-9.4871,17.1794,23.3333,-21.282,-0.76929,-8.4617,39.2307,18.2048,8.9744,10.5129,0.76929,-3.3333,-4.8718,,
-3.8462,-15.1279,11.0259,14.6152,-23.8462,0.25635,-13.0767,33.5898,11.0259,0.25635,4.8721,-0.25635,-14.1025,-19.8718,,
-0.76904,-14.6152,8.4614,15.1279,-20.769,-9.4873,-12.564,30,0.76904,1.2822,4.8716,0.76904,-6.4102,-22.3076,,
-9.2307,-15.8972,11.7947,15.3845,-18.9744,-14.3591,-14.8718,21.0256,2.0515,2.0515,7.6921,-6.1541,-0.51294,-7.3076,,
-3.5896,-11.7947,22.0515,17.4358,-5.1282,-7.1794,-8.2053,21.5383,14.8718,8.718,13.8464,-1.5383,1.5383,-2.051,,
0.25659,-13.5896,14.1023,15.1282,-0.76929,-15.6409,-6.9231,14.1023,8.9744,5.8972,4.3591,-0.25659,-2.3079,-17.051,,
-0.76953,-11.5386,14.1025,24.8716,0.76904,-16.1538,-7.436,7.4355,1.2817,4.3589,-0.76953,-0.25635,0.25635,-32.051,,
-0.51318,-6.667,23.5894,32.3076,3.5894,-10.2568,-5.1284,3.0767,2.0513,4.6152,0,-5.6411,0,-28.7183,,
5.6409,-2.051,18.9744,33.3333,5.6409,-10.7693,-3.5896,-2.051,4.1028,3.5896,0.51294,-9.2307,-0.51294,-28.2051,,
0.25659,-0.25659,9.9998,33.5896,5.8972,-10.5129,-7.4358,-11.5383,2.3079,0.76929,-0.76929,-11.0256,1.7947,-28.9744,,
-6.4104,-0.76929,13.0769,33.0769,2.8206,-3.8464,-10.0002,-16.1541,2.8206,0.76929,1.282,-15.1282,2.8206,-31.5386,,
-2.8206,-3.3333,11.0256,32.051,1.282,0.76929,-9.4871,-15.6409,2.3079,-0.76929,6.4104,-11.5383,0.76929,-28.4617,,
0.25635,-3.8462,5.3848,31.0254,1.7949,2.3076,-7.436,-17.6924,2.3076,-0.25635,11.0254,-2.8203,-6.9229,-13.4617,,
-5.6411,-7.1792,3.5898,23.5898,0,4.1025,-9.231,-23.5898,1.5386,7.6924,10.769,-0.51269,-12.8203,0,,
-14.1028,-13.0769,1.282,17.1794,-1.282,5.8972,-10.0002,-27.949,5.8972,15.6409,10.5125,5.8972,-12.0515,-4.8718,,
-15.385,-15.385,1.0256,16.9231,-1.0256,5.6409,-6.6667,-28.7183,14.3586,15.8972,16.9231,16.9231,-4.1028,-3.5901,,
-17.436,-18.4614,0,14.3589,-2.0513,0.51269,-3.0771,-34.3591,9.7437,11.7949,15.3848,9.2305,0,-5.6411,,
-11.2822,-17.436,4.6152,21.0254,-0.5127,0.51269,0,-33.8462,5.1279,12.3076,10.769,0,-3.5898,-8.2051,,
-7.6924,-15.8975,6.6665,26.6665,-0.5127,0.5127,-3.0767,-33.8462,9.231,12.8208,10.769,2.0513,-5.6411,-15.8975,,
-12.5645,-17.1797,4.8716,17.6924,-0.25635,-1.2822,-3.8462,-40.7693,12.564,11.5381,11.0254,0.25635,2.3076,-27.949,,
-11.0259,-14.6152,5.3848,15.6411,-0.25635,0.76904,-0.25635,-38.2051,14.1025,12.0513,12.564,-1.7949,0.25635,-20.2563,,
-3.3335,-8.9741,6.9229,21.7949,-3.3335,1.2822,-0.76904,-33.5898,11.0259,10,12.564,0.76904,-14.7437,-17.6924,,
-0.5127,-8.2051,11.2822,24.1025,-1.5386,2.564,0.5127,-33.8462,9.7437,5.1284,6.6665,-2.0513,-13.3335,-32.6924,,
-7.1792,-6.6665,9.231,26.667,3.0771,7.1797,0,-27.1794,11.7949,0,0.51318,-9.2305,-7.1792,-30.2563,,
-8.2053,-2.5642,6.1541,32.3079,3.5896,14.8718,-1.0256,-15.3845,12.8206,1.0256,3.0769,-5.1282,-8.718,-18.9744,,
-4.1023,-5.1282,5.6409,30.2566,-0.51294,15.8977,-1.0256,-14.8718,8.2053,5.6409,3.5896,0.51294,-2.5642,-26.1538,,
-1.5386,-6.6665,5.6411,26.6665,-2.0513,13.8462,0.5127,-18.9741,6.1538,7.6924,-0.51269,-3.5898,1.0259,-20,,
-3.0767,-4.6152,7.6924,26.1538,2.0513,12.8208,3.0771,-20,3.0771,3.5898,-3.5894,-4.1025,-10.2563,-5,,
-6.6665,-7.6924,2.0513,23.5898,0,9.7437,0,-18.4614,-4.6152,1.0254,1.0254,5.6411,-11.7949,-6.6665,,
-3.333,-7.4355,-0.25635,26.4102,-5.3843,13.0771,-1.7949,-6.9229,1.7949,8.9746,9.4873,13.0771,-2.8203,0.25635,,
-3.5896,-10.2561,-0.51294,22.5642,-13.8459,8.718,-4.1023,-7.6921,5.1282,5.6414,0.51294,4.1028,-10.7693,7.1794,,
-1.7949,-9.4868,0.76953,23.8462,-12.0513,7.436,0.25635,-8.9741,0.25635,4.3594,-0.76904,5.8975,-3.8462,-0.25635,,
-4.6155,-7.1794,0.51294,24.6155,-10.7693,8.718,-0.51294,-8.2048,-6.6667,6.6667,4.6155,8.718,8.718,-10.2561,,
-7.1792,-5.6411,3.5898,22.564,-10.2563,9.7437,-2.564,-10.769,-3.0767,5.1284,2.564,3.0771,3.5898,-15.8975,,
-3.3333,-4.8718,7.4358,23.8464,-4.3586,10.5129,0.76929,-9.9998,2.8206,2.3079,-0.76929,1.282,-2.3074,-15.6409,,
-2.0515,-6.1541,3.0769,23.0769,-4.6155,9.7434,1.5383,-6.6667,-0.51294,0.51294,1.5383,1.0256,-5.1282,-10.7693,,
0.76904,-7.436,1.2817,22.3076,-11.5386,6.4102,-0.76953,-4.3589,2.8203,0.25635,7.436,-0.25635,-8.4614,-3.8462,,
2.3079,-7.9485,5.3845,24.3591,-10.5129,1.282,-1.282,-4.8718,11.0256,1.282,7.4358,-4.8718,-7.9485,-7.9485,,
-0.25635,-5.3843,6.9233,27.436,-7.4355,0.25635,0.76953,-4.3589,6.4102,6.4102,2.3076,-1.2817,-3.8462,-13.0767,,
-1.5386,-3.5898,7.1797,28.7178,-6.6665,1.0259,1.5386,-1.5386,0,11.7949,-0.51269,10.769,0,-10.2563,,
-3.0769,-4.1023,5.1282,27.6921,-5.6409,-1.5383,1.5383,-1.5383,4.1028,12.8206,0.51294,13.3333,-0.51294,-9.7434,,
-4.8721,-4.3589,5.8975,28.4614,-7.9487,-1.7949,3.333,-7.436,10,14.1025,1.7949,10.5127,-2.8208,-6.4102,,
-8.9744,-7.949,6.4099,24.8718,-14.1028,-4.3591,-0.76929,-15.6414,7.9485,11.5383,3.3333,9.4871,-4.8718,0.76929,,
-6.1538,-6.1538,7.1792,26.1538,-8.7183,-4.1025,-4.6157,-13.3335,10.2563,10.2563,9.7437,12.3076,-5.1284,4.1025,,
-0.51294,-4.1028,10.2561,28.718,-4.1028,0.51294,-2.5642,-12.3079,15.3845,11.7947,11.7947,12.8206,-3.5896,-9.7439,,
-4.8716,-9.4873,4.3589,18.7178,-12.0513,-3.3335,-1.7949,-22.8203,7.9487,7.9487,5.8975,2.8203,1.7949,-24.7439,,
-4.3589,-8.4614,4.8716,20.2563,-10.5127,-3.3335,3.3335,-21.2822,5.8975,3.8462,11.0259,-3.3335,4.8716,-17.6924,,
-2.0515,-6.1541,12.8206,27.1794,-3.5901,-1.0256,3.5896,-17.4363,9.7434,4.1023,12.3074,1.0256,-1.0256,-15.8977,,
0.5127,-6.1538,11.2822,29.7437,-5.6411,-1.5386,-1.5386,-15.3848,8.2051,5.1284,7.6924,8.2051,-0.5127,-22.564,,
5.1282,-8.2053,6.6667,29.7434,-13.8459,-4.1028,-2.5642,-9.2307,1.5383,2.5642,7.6921,6.1541,-1.5383,-17.949,,
5.8975,-7.436,11.0254,29.4873,-11.5386,-2.3076,-1.7949,-5.3848,1.7949,3.333,6.9229,5.3843,-6.4102,-4.3589,,
-2.0513,-4.6152,13.8462,27.1797,-5.6411,-0.5127,-5.6411,-13.8462,3.0771,9.231,0.51269,9.7437,4.1025,-2.564,,
-3.5898,-2.564,14.8721,25.6411,-4.6152,-2.0513,-6.6665,-21.5386,2.0513,12.3076,3.0771,13.3335,19.1025,-10.769,,
-6.1538,-4.1025,12.3081,21.0259,-7.6919,-4.1025,-5.1279,-21.0254,4.1025,9.7437,12.3081,10.2563,12.3081,-15.8975,,
-11.5386,-3.3335,13.5898,18.2051,-7.9487,-0.76904,-5.3848,-15.6411,15.6411,13.0767,19.231,10.5127,0.76904,-15.1284,,
-12.8206,-4.1028,14.8718,22.5642,-8.2053,-2.5642,-9.2307,-16.9231,16.9231,12.3074,16.4104,11.7947,2.5642,-14.3591,,
-13.8459,-4.6155,12.3079,26.1541,-12.3079,-5.1282,-9.2307,-17.4358,11.282,10.2566,15.8977,9.7434,4.6155,-9.7434,,
-12.8206,-1.0256,14.8718,27.1794,-11.7952,-3.0769,-2.0515,-12.8206,14.8718,13.3333,17.9485,7.6921,1.0256,-8.2053,,
-10.7693,-3.5896,14.8718,25.6409,-10.7693,-7.6921,-5.1282,-17.4358,10.2561,9.2307,10.7693,6.1536,3.5896,-18.9744,,
-5.6409,-6.1541,11.282,27.1794,-12.8206,-8.718,-8.718,-18.9744,5.6409,8.2048,8.2048,9.7434,10.2566,-17.4358,,
1.7949,-6.4102,11.0259,28.9746,-15.6411,-7.9487,-3.8462,-13.0767,8.4619,8.4619,10,8.9746,-1.7949,-16.6665,,
6.1538,-7.6924,12.8208,25.6411,-16.9229,-9.2305,-4.1025,-9.7437,6.1538,4.1025,5.6411,4.1025,-5.6411,-25.6411,,
